Output template: perf,%engine%,%impl%,%name%,%prb%,%Gops%,%+ctime%,%-time%,%-Gflops%,%0time%,%0Gflops%
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x256:256x256,0.0335544,0.925537,0.012207,2748.78,0.0125815,2666.97
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x512:512x256,0.0671089,0.290283,0.0202637,3311.78,0.0210636,3186.01
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x768:768x256,0.100663,0.314697,0.0290527,3464.85,0.0300068,3354.68
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x1024:1024x256,0.134218,0.334473,0.0441895,3037.32,0.0453996,2956.37
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x1280:1280x256,0.167772,0.364014,0.0541992,3095.47,0.0552901,3034.4
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x1536:1536x256,0.201327,0.380371,0.0639648,3147.46,0.0655408,3071.77
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x1792:1792x256,0.234881,0.405029,0.0739746,3175.16,0.0753419,3117.53
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x2048:2048x256,0.268435,0.435303,0.0837402,3205.57,0.0858285,3127.58
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x2304:2304x256,0.30199,0.45752,0.0961914,3139.47,0.0985831,3063.3
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x2560:2560x256,0.335544,0.486816,0.108154,3102.46,0.110678,3031.71
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x2816:2816x256,0.369099,0.522217,0.118408,3117.17,0.12108,3048.39
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x3072:3072x256,0.402653,0.529541,0.130859,3076.99,0.134552,2992.54
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x3328:3328x256,0.436208,0.55542,0.147705,2953.23,0.154095,2830.78
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x3584:3584x256,0.469762,0.602295,0.162354,2893.45,0.169315,2774.49
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x3840:3840x256,0.503316,0.606445,0.175781,2863.31,0.184532,2727.53
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x4096:4096x256,0.536871,0.630127,0.193115,2780.05,0.200753,2674.29
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x4352:4352x256,0.570425,0.655029,0.230957,2469.83,0.238607,2390.64
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x4608:4608x256,0.60398,0.67749,0.250977,2406.52,0.262067,2304.68
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x4864:4864x256,0.637534,0.546143,0.278076,2292.66,0.298967,2132.46
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x5120:5120x256,0.671089,0.519043,0.300537,2232.96,0.319639,2099.52
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x5376:5376x256,0.704643,0.862305,0.318359,2213.36,0.351295,2005.84
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x5632:5632x256,0.738198,0.825928,0.337646,2186.3,0.371253,1988.39
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x5888:5888x256,0.771752,0.85791,0.352051,2192.16,0.387416,1992.05
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x6144:6144x256,0.805306,0.508789,0.376709,2137.74,0.405468,1986.12
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x6400:6400x256,0.838861,0.861572,0.395264,2122.28,0.431065,1946.02
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x6656:6656x256,0.872415,0.859619,0.409424,2130.84,0.446384,1954.4
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x6912:6912x256,0.90597,0.542725,0.426514,2124.13,0.461249,1964.17
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x7168:7168x256,0.939524,0.90332,0.437744,2146.29,0.478658,1962.83
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x7424:7424x256,0.973079,0.857178,0.463135,2101.07,0.503272,1933.5
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x7680:7680x256,1.00663,0.821777,0.475342,2117.7,0.514663,1955.91
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x7936:7936x256,1.04019,0.852783,0.499512,2082.41,0.531993,1955.26
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x8192:8192x256,1.07374,0.86377,0.503906,2130.84,0.557098,1927.38
tests:32 passed:32 skipped:0 mistrusted:0 unimplemented:0 invalid_arguments:0 failed:0 listed:0
total perf: min(ms):7.57031 avg(ms):8.12374
total: 96.80s; create_pd: 0.00s (0%); create_prim: 0.02s (0%); fill: 0.68s (1%); execute: 0.01s (0%);
